sst,department,storage
B,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B]
B all,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B all]
B bub,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B bub]
B clk,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B clk]
B csc,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B csc]
B fem,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B fem]
B-Freihand-Magazin,@b,Freihand-Magazin Bibliothek Alte Münze (UG) [B-Freihand-Magazin]
B geo,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B geo]
B his,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B his]
B hwd,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B hwd]
Bibliothek Rengstorf,@b,Nachlass Rengstorf im Magazin der Bibliothek Alte Münze [Bibliothek Rengstorf]
Bibliothek Wittler,@b,Nachlass Wittler im Magazin der Bibliothek Alte Münze [Bibliothek Wittler]
B-IGB-Referenzwerke,,Referenzwerke der Islamischen Gelehrtenbibliothek in der Bibliothek Alte Münze (2. OG) [B-IGB-Referenzwerke]
B-IKFN,,Bibliothek des Interdisziplinären Instituts für Kulturgeschichte der Frühen Neuzeit (IKFN) [B-IKFN]
B-IKFN-Altdrucke,,Altdrucke der Bibliothek des Interdisziplinären Instituts für Kulturgeschichte der Frühen Neuzeit (IKFN) [B-IKFN-Altdrucke]
B-IMIS,,Bibliothek des Instituts für Migrationsforschung und Interkulturelle Studien (IMIS) [B-IMIS]
B-Kartenschrank,@b,Kartensammlung Bibliothek Alte Münze (3.OG) [B-Kartenschrank]
B kun,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B kun]
B-Lesesaal 1,@b,Lesesaal 1. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 1]
B-Lesesaal 2,@b,Lesesaal 2. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 2]
B-Lesesaal 3,@b,Lesesaal 3. OG in der Bereichsbibliothek Philologien / Kulturwissenschaften [B-Lesesaal 3]
B lit,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B lit]
B-Magazin,@b,Magazin Bibliothek Alte Münze [B-Magazin]
B-Mediothek,@b,Mediothek Bibliothek Alte Münze [B-Mediothek]
B mus,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B mus]
B mwi,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B mwi]
B osn,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B osn]
B pae,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B pae]
B phi,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B phi]
B psy,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B psy]
B rel,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B rel]
B-Schulbuchsammlung,@b,Schulbuchsammlung Bibliothek Alte Münze (UG) [B-Schulbuchsammlung]
B spo,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B spo]
B sta,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B sta]
B tec,@b,Bibliothek Alte Münze; Bereichsbibliothek Philologien / Kulturwissenschaften [B tec]
B-Testothek,@b,Testothek Bibliothek Alte Münze [B-Testothek]
B-Zimeliensaal,@b,Zimeliensaal Bibliothek Alte Münze; Altbau [B-Zimeliensaal]
C-2,@ikfnimis,Alte Geschichte und Archäologie [C-2]
C-3,@ikfnimis,Kartensammlung Geographie [C-3]
C-4,@ikfnimis,Handbibliothek Geographie [C-4]
D,@,Dienstexemplare UB [D]
DL-1,@,Diathek Kunstgeschichte [DL-1]
E-2,@,AV-Sammlung Sport [E-2]
E-3,@,AV-Sammlung Ev. Theologie [E-3]
E-4,@,Pädagogik [E-4]
E-5,@,Sachunterricht [E-5]
E-6,@,Examensapparat Ev. Theologie [E-6]
F,@,Gleichstellungsbüro [F]
G,@g,Bereichsbibliothek Sozialwissenschaften [G]
G all,@g,Bereichsbibliothek Sozialwissenschaften [G all]
G bbg,@g,Bereichsbibliothek Sozialwissenschaften [G bbg]
G-Freihand-Magazin,@g,Freihand-Magazin der Bereichsbibliothek Sozialwissenschaften [G-Freihand-Magazin]
G his,@g,Bereichsbibliothek Sozialwissenschaften [G his]
G jzs,@g,Bereichsbibliothek Sozialwissenschaften [G jzs]
G-LB,@g,Lehrbuchsammlung der Bereichsbibliothek Sozialwissenschaften [G-LB]
G-Magazin,@g,Magazin der Bereichsbibliothek Sozialwissenschaften [G-Magazin]
G-Medienschrank,@g,Medienschrank der Bereichsbibliothek Sozialwissenschaften [G-Medienschrank]
G-Raraschrank,,Bereichsbibliothek Sozialwissenschaften [G-Raraschrank]
G sow,@g,Bereichsbibliothek Sozialwissenschaften [G sow]
G sta,@g,Bereichsbibliothek Sozialwissenschaften [G sta]
G vwl,@g,Bereichsbibliothek Sozialwissenschaften [G vwl]
Islamische Gelehrtenbibliothek,@b,Islamische Gelehrtenbibliothek im Magazin der Bibliothek Alte Münze [Islamische Gelehrtenbibliothek]
J,@j,Rechtswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J]
J-1,@j,Handapparat Prof. Dr. Krack [J-1]
J-10,@j,Handapparat Prof. Dr. Hartmann [J-10]
J-11,@j,Handapparat Prof. Dr. Schmitz [J-11]
J-12,@j,Handapparat Prof. Dr. Foerste [J-12]
J-13,@j,Handapparat Prof. Dr. Sinn [J-13]
J-14,@j,Handapparat Prof. Dr. McGuire [J-14]
J-15,@j,Handapparat Prof. Dr. Fuchs [J-15]
J-16,@j,Handapparat Prof. Dr. Zoll [J-16]
J-17,@j,Handapparat Prof. Dr. Groß [J-17]
J-18,@j,Handapparat Prof. Dr. Busch [J-18]
J-19,@j,Handapparat Prof. Dr. Dörr [J-19]
J-2,@j,Handapparat Prof. Dr. Schulte-Nölke [J-2]
J-20,@j,Handapparat Prof. Dr. Gesk [J-20]
J-3,@j,Handapparat Prof. Dr. Bieder [J-3]
J-4,@j,Handapparat Prof. Dr. von Bar [J-4]
J-5,@j,Handapparat Prof. Dr. Lampert [J-5]
J-6,@j,Handapparat Prof. Dr. Ipsen [J-6]
J-7,@j,Handapparat Prof. Dr. Cancik [J-7]
J-8,@j,Handapparat Prof. Dr. Leuschner [J-8]
J-9,@j,Handapparat Prof. Dr. Lampert [J-9]
J all,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J all]
J arb,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J arb]
J-CIP,@j,CIP-Pool Rechtswissenschaften Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-CIP]
J-ED,@j,Europäisches Dokumentationszentrum in der Bibliothek des European Legal Studies Institute [J-ED]
